Sales Person,Country,Product,Date,Amount,Boxes Shipped
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,3605,403
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,19929,174
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,5103,140
Jan Morforth,India,Eclairs,2022-01-05,2541,27
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,5663,110
Wilone O'Kielt,USA,After Nines,2022-04-25,392,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,10976,121
Barr Faughny,USA,Raspberry Choco,2022-04-12,9282,101
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,1827,117
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,8267,272
Ches Bonnell,Australia,Eclairs,2022-07-05,4116,128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,2093,45
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,1015,27
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,12516,212
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,2758,18
Kelci Walkden,India,Almond Choco,2022-03-14,3297,149
Camilla Castle,Australia,70% Dark Bites,2022-04-29,6048,477
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,10101,108
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,2282,178
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,4361,81
Karlen McCaffrey,UK,Eclairs,2022-01-25,7798,196
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,3052,447
Gigi Bohling,UK,After Nines,2022-03-29,8029,175
Curtice Advani,Australia,Orange Choco,2022-07-12,854,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,5460,138
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,3017,184
Andria Kimpton,USA,85% Dark Bars,2022-04-05,8911,82
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,7203,12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,13083,14
Mallorie Waber,Australia,Milk Bars,2022-07-29,2779,104
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,9058,46
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,3549,112
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,9436,11
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,10283,21
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,5446,116
Ches Bonnell,Australia,White Choc,2022-03-02,1043,202
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,12586,6
Kelci Walkden,India,After Nines,2022-01-07,1687,520
Brien Boise,UK,White Choc,2022-04-12,5299,167
Van Tuxwell,Canada,Almond Choco,2022-06-27,3213,72
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,5194,418
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,4753,389
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,13706,26
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,6489,146
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,9324,41
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,10829,54
Barr Faughny,Australia,White Choc,2022-07-04,8113,370
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,3269,176
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,273,210
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,7287,12
Gigi Bohling,India,Raspberry Choco,2022-02-22,2583,159
Camilla Castle,UK,White Choc,2022-01-03,9982,187
Karlen McCaffrey,India,Drinking Coco,2022-05-31,4795,233
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,9310,282
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,497,475
Barr Faughny,UK,50% Dark Bites,2022-01-28,581,65
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,3472,311
Husein Augar,UK,Choco Coated Almonds,2022-03-02,4333,43
Wilone O'Kielt,Australia,After Nines,2022-05-27,3325,26
Dennison Crosswaite,USA,Almond Choco,2022-06-30,11718,84
Barr Faughny,Canada,Peanut Butter Cubes,2022-06-07,2100,78
Kaine Padly,USA,70% Dark Bites,2022-05-12,4018,100
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,6468,66
Dennison Crosswaite,UK,White Choc,2022-08-03,7238,265
Barr Faughny,India,Baker's Choco Chips,2022-08-18,6454,141
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,3115,42
Beverie Moffet,UK,White Choc,2022-06-30,6475,76
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,1162,190
Ches Bonnell,UK,Orange Choco,2022-04-27,14238,54
Jan Morforth,Australia,White Choc,2022-07-27,3472,32
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,1428,424
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,8064,134
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,9660,92
Karlen McCaffrey,Australia,White Choc,2022-01-05,7357,48
Beverie Moffet,India,Drinking Coco,2022-07-15,6055,46
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,5124,62
Karlen McCaffrey,Canada,Eclairs,2022-04-20,3479,358
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,784,249
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,18991,88
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-08-03,1372,144
Beverie Moffet,Australia,Milk Bars,2022-05-25,735,390
Van Tuxwell,UK,Raspberry Choco,2022-03-16,6538,79
Jan Morforth,Australia,Orange Choco,2022-07-04,3199,122
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,3472,135
Madelene Upcott,USA,After Nines,2022-03-15,4571,430
Barr Faughny,UK,Raspberry Choco,2022-08-22,5481,69
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,3136,125
Marney O'Breen,UK,Baker's Choco Chips,2022-06-10,252,154
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,5460,286
Rafaelita Blaksland,India,Almond Choco,2022-07-27,3395,99
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,14938,433
Roddy Speechley,India,Orange Choco,2022-06-27,4053,19
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,5565,258
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,7161,92
Madelene Upcott,USA,Eclairs,2022-03-18,8883,200
Brien Boise,India,Eclairs,2022-04-29,1351,61
Mallorie Waber,New Zealand,White Choc,2022-02-25,3171,246
Husein Augar,USA,Milk Bars,2022-03-02,854,56
Van Tuxwell,Australia,Milk Bars,2022-06-20,7910,87
Beverie Moffet,Canada,White Choc,2022-07-15,9275,173
Dotty Strutley,Australia,50% Dark Bites,2022-05-12,3108,252
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-07-01,5075,256
Husein Augar,USA,85% Dark Bars,2022-08-08,378,54
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,7350,6
Wilone O'Kielt,UK,Drinking Coco,2022-05-18,3388,55
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,11837,277
Curtice Advani,India,70% Dark Bites,2022-07-05,2282,44
Mallorie Waber,USA,Manuka Honey Choco,2022-07-04,5425,96
Dotty Strutley,UK,70% Dark Bites,2022-06-20,1267,216
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,3752,424
Kaine Padly,New Zealand,Spicy Special Slims,2022-07-01,7728,37
Gigi Bohling,USA,50% Dark Bites,2022-04-13,2296,59
Beverie Moffet,UK,Smooth Sliky Salty,2022-05-04,4403,76
Beverie Moffet,Australia,Baker's Choco Chips,2022-08-04,3192,109
Beverie Moffet,India,70% Dark Bites,2022-06-01,448,146
Jehu Rudeforth,UK,Choco Coated Almonds,2022-04-22,4270,185
Kaine Padly,USA,50% Dark Bites,2022-08-03,70,27
Ches Bonnell,USA,Orange Choco,2022-06-10,1743,69
Gunar Cockshoot,UK,Manuka Honey Choco,2022-06-27,6762,46
Marney O'Breen,Australia,Smooth Sliky Salty,2022-01-03,3745,170
Marney O'Breen,India,After Nines,2022-07-11,2639,179
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,4389,126
Rafaelita Blaksland,USA,Fruit & Nut Bars,2022-01-18,2604,65
Ches Bonnell,India,Organic Choco Syrup,2022-03-08,16569,99
Mallorie Waber,Australia,Orange Choco,2022-03-07,14658,275
Husein Augar,India,70% Dark Bites,2022-05-09,6454,157
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,2100,157
Madelene Upcott,UK,Caramel Stuffed Bars,2022-04-15,161,145
Gigi Bohling,Australia,Drinking Coco,2022-07-27,2807,139
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,2639,406
Ches Bonnell,USA,70% Dark Bites,2022-05-11,4571,122
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,4781,38
Barr Faughny,USA,50% Dark Bites,2022-04-14,13034,117
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-04-05,6454,417
Marney O'Breen,New Zealand,Smooth Sliky Salty,2022-06-14,8484,57
Brien Boise,Canada,Almond Choco,2022-04-13,4781,125
Beverie Moffet,Australia,White Choc,2022-06-27,2240,166
Dotty Strutley,Australia,Eclairs,2022-01-26,6979,3
Barr Faughny,UK,White Choc,2022-07-05,1652,72
Beverie Moffet,Canada,Baker's Choco Chips,2022-01-11,13447,95
Kelci Walkden,USA,White Choc,2022-03-07,9422,22
Kaine Padly,Canada,50% Dark Bites,2022-03-04,8687,100
Karlen McCaffrey,Canada,Organic Choco Syrup,2022-07-15,2415,312
Kaine Padly,UK,Peanut Butter Cubes,2022-05-11,6272,86
Karlen McCaffrey,USA,Milk Bars,2022-01-27,4389,7
Karlen McCaffrey,India,Orange Choco,2022-06-27,3122,149
Ches Bonnell,India,Smooth Sliky Salty,2022-08-03,8043,18
Wilone O'Kielt,New Zealand,Mint Chip Choco,2022-08-19,11662,242
Wilone O'Kielt,Australia,Fruit & Nut Bars,2022-06-15,392,102
Dennison Crosswaite,UK,Peanut Butter Cubes,2022-02-07,8925,158
Karlen McCaffrey,Australia,Almond Choco,2022-07-08,7294,128
Dennison Crosswaite,India,Milk Bars,2022-04-21,1526,96
Ches Bonnell,UK,Mint Chip Choco,2022-04-08,2688,209
Husein Augar,Australia,50% Dark Bites,2022-08-19,14889,52
Jan Morforth,India,Fruit & Nut Bars,2022-05-04,2912,55
Mallorie Waber,USA,85% Dark Bars,2022-05-11,2632,108
Mallorie Waber,USA,Eclairs,2022-03-22,6328,51
Dennison Crosswaite,Canada,Spicy Special Slims,2022-08-10,2527,216
Dennison Crosswaite,USA,Fruit & Nut Bars,2022-05-04,1414,318
Kelci Walkden,USA,99% Dark & Pure,2022-08-18,7714,238
Dotty Strutley,Canada,Raspberry Choco,2022-08-03,4347,238
Marney O'Breen,New Zealand,Milk Bars,2022-01-14,7490,315
Madelene Upcott,Australia,Choco Coated Almonds,2022-04-08,2058,72
Kelci Walkden,UK,Orange Choco,2022-08-01,3640,3
Dennison Crosswaite,Canada,Eclairs,2022-03-15,455,45
Karlen McCaffrey,India,Mint Chip Choco,2022-07-15,10990,184
Barr Faughny,New Zealand,Almond Choco,2022-01-13,5558,127
Mallorie Waber,Australia,85% Dark Bars,2022-08-26,2541,53
Ches Bonnell,Canada,Eclairs,2022-01-10,1876,172
Gigi Bohling,Australia,White Choc,2022-05-11,5523,87
Beverie Moffet,New Zealand,85% Dark Bars,2022-08-30,11200,22
Kaine Padly,USA,Caramel Stuffed Bars,2022-07-21,5593,122
Mallorie Waber,Australia,Almond Choco,2022-08-01,7882,125
Brien Boise,Canada,85% Dark Bars,2022-02-17,10241,259
Brien Boise,Australia,Drinking Coco,2022-07-27,6832,156
Dotty Strutley,USA,Orange Choco,2022-02-23,1379,107
Rafaelita Blaksland,Australia,50% Dark Bites,2022-03-22,3010,40
Dennison Crosswaite,India,99% Dark & Pure,2022-06-23,6888,311
Curtice Advani,UK,White Choc,2022-02-01,1540,73
Kelci Walkden,Australia,After Nines,2022-03-02,6916,288
Gigi Bohling,UK,Fruit & Nut Bars,2022-04-06,1232,86
Gunar Cockshoot,Australia,Raspberry Choco,2022-03-17,602,72
Curtice Advani,UK,Fruit & Nut Bars,2022-06-24,10927,136
Barr Faughny,Canada,50% Dark Bites,2022-07-19,10185,303
Curtice Advani,USA,Spicy Special Slims,2022-07-11,1603,264
Brien Boise,India,Almond Choco,2022-01-13,2170,218
Oby Sorrel,New Zealand,Smooth Sliky Salty,2022-07-07,8673,60
Jan Morforth,India,85% Dark Bars,2022-05-25,4760,418
Marney O'Breen,India,Fruit & Nut Bars,2022-04-13,4753,151
Andria Kimpton,New Zealand,50% Dark Bites,2022-03-02,3374,202
Gunar Cockshoot,Canada,Raspberry Choco,2022-06-23,2058,126
Kelci Walkden,USA,Drinking Coco,2022-07-26,6454,160
Van Tuxwell,Canada,White Choc,2022-03-22,420,3
Rafaelita Blaksland,USA,Baker's Choco Chips,2022-06-09,2863,58
Van Tuxwell,Australia,Caramel Stuffed Bars,2022-05-17,5936,59
Ches Bonnell,New Zealand,Peanut Butter Cubes,2022-03-04,889,273
Kelci Walkden,Canada,Milk Bars,2022-07-07,16016,28
Dennison Crosswaite,Canada,Choco Coated Almonds,2022-01-13,10479,118
Curtice Advani,Australia,Almond Choco,2022-07-13,2912,75
Madelene Upcott,Australia,85% Dark Bars,2022-06-16,1575,329
Gigi Bohling,UK,50% Dark Bites,2022-07-18,8197,69
Ches Bonnell,UK,Manuka Honey Choco,2022-05-30,4221,395
Gigi Bohling,UK,70% Dark Bites,2022-06-21,840,81
Jehu Rudeforth,Australia,Peanut Butter Cubes,2022-06-24,5691,38
Marney O'Breen,India,Eclairs,2022-01-13,3472,96
Curtice Advani,Canada,Fruit & Nut Bars,2022-04-04,4193,195
Kaine Padly,UK,Smooth Sliky Salty,2022-06-08,9016,554
Karlen McCaffrey,Canada,Spicy Special Slims,2022-08-02,6328,47
Kelci Walkden,USA,Organic Choco Syrup,2022-07-21,9870,152
Curtice Advani,India,Spicy Special Slims,2022-06-20,161,134
Roddy Speechley,India,After Nines,2022-06-22,2576,112
Camilla Castle,Australia,Caramel Stuffed Bars,2022-05-02,3178,16
Curtice Advani,Australia,99% Dark & Pure,2022-01-07,4676,84
Mallorie Waber,UK,50% Dark Bites,2022-02-21,5502,99
Ches Bonnell,Canada,Baker's Choco Chips,2022-03-21,7462,371
Van Tuxwell,UK,Drinking Coco,2022-04-04,5803,136
Gunar Cockshoot,Canada,Fruit & Nut Bars,2022-03-24,13888,203
Gunar Cockshoot,New Zealand,Spicy Special Slims,2022-06-28,6867,183
Gunar Cockshoot,Australia,Drinking Coco,2022-01-14,2317,195
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,2022-02-07,1218,135
Dennison Crosswaite,New Zealand,Drinking Coco,2022-01-11,4109,197
Jehu Rudeforth,India,99% Dark & Pure,2022-02-25,1953,242
Dotty Strutley,Australia,Mint Chip Choco,2022-08-01,6790,25
Roddy Speechley,Australia,Mint Chip Choco,2022-05-05,6797,252
Madelene Upcott,New Zealand,Raspberry Choco,2022-05-18,9226,415
Dotty Strutley,New Zealand,Choco Coated Almonds,2022-01-04,5733,348
Roddy Speechley,New Zealand,50% Dark Bites,2022-05-09,4312,211
Rafaelita Blaksland,India,Smooth Sliky Salty,2022-05-06,1638,81
Husein Augar,UK,White Choc,2022-01-13,10815,145
Roddy Speechley,Australia,Almond Choco,2022-06-24,4466,74
Van Tuxwell,USA,Caramel Stuffed Bars,2022-02-14,987,21
Camilla Castle,Australia,99% Dark & Pure,2022-01-18,4669,101
Kaine Padly,India,Milk Bars,2022-05-02,2905,91
Ches Bonnell,Australia,Smooth Sliky Salty,2022-05-16,7490,54
Mallorie Waber,USA,Almond Choco,2022-01-28,6986,368
Kaine Padly,Canada,99% Dark & Pure,2022-06-24,1288,409
Oby Sorrel,UK,After Nines,2022-07-18,2345,104
Gunar Cockshoot,UK,Eclairs,2022-04-13,3619,164
Dotty Strutley,USA,Caramel Stuffed Bars,2022-04-15,16982,76
Jan Morforth,India,Peanut Butter Cubes,2022-01-04,8092,178
Husein Augar,Australia,Eclairs,2022-07-04,6993,31
Beverie Moffet,USA,Smooth Sliky Salty,2022-03-24,2317,352
Camilla Castle,Australia,Manuka Honey Choco,2022-03-17,637,169
Oby Sorrel,Australia,Almond Choco,2022-02-15,6034,223
Jan Morforth,USA,Orange Choco,2022-06-29,980,146
Gigi Bohling,USA,Fruit & Nut Bars,2022-05-24,2821,112
Mallorie Waber,UK,Milk Bars,2022-01-10,3563,284
Curtice Advani,USA,Raspberry Choco,2022-03-15,2996,139
Marney O'Breen,Canada,Milk Bars,2022-02-08,2436,309
Brien Boise,India,Caramel Stuffed Bars,2022-02-25,1540,100
Gunar Cockshoot,USA,Eclairs,2022-05-03,6916,42
Roddy Speechley,USA,Fruit & Nut Bars,2022-06-14,5509,24
Gunar Cockshoot,India,50% Dark Bites,2022-08-09,12992,83
Wilone O'Kielt,New Zealand,Manuka Honey Choco,2022-07-11,3724,234
Kaine Padly,UK,Manuka Honey Choco,2022-01-14,7133,118
Van Tuxwell,Canada,Manuka Honey Choco,2022-02-24,8617,46
Wilone O'Kielt,New Zealand,Almond Choco,2022-03-15,9198,144
Oby Sorrel,New Zealand,Baker's Choco Chips,2022-04-25,11823,47
Dennison Crosswaite,Australia,Organic Choco Syrup,2022-05-10,5775,41
Marney O'Breen,Australia,Spicy Special Slims,2022-06-23,13125,275
Beverie Moffet,Canada,Smooth Sliky Salty,2022-02-28,14287,370
Brien Boise,USA,Organic Choco Syrup,2022-05-25,16233,138
Roddy Speechley,New Zealand,Baker's Choco Chips,2022-02-22,5313,215
Van Tuxwell,UK,85% Dark Bars,2022-07-11,3577,134
Marney O'Breen,Canada,Spicy Special Slims,2022-01-03,3528,336
Rafaelita Blaksland,New Zealand,70% Dark Bites,2022-08-24,679,280
Beverie Moffet,USA,50% Dark Bites,2022-07-28,2450,352
Brien Boise,USA,Mint Chip Choco,2022-05-25,10577,150
Karlen McCaffrey,New Zealand,Eclairs,2022-05-06,2597,177
Barr Faughny,India,Drinking Coco,2022-01-28,2219,142
Marney O'Breen,UK,Orange Choco,2022-06-06,11319,12
Brien Boise,New Zealand,Baker's Choco Chips,2022-07-12,5978,24
Ches Bonnell,Canada,Spicy Special Slims,2022-08-05,5327,183
Brien Boise,USA,Orange Choco,2022-01-28,6020,147
Kaine Padly,India,Spicy Special Slims,2022-08-31,5614,137
Mallorie Waber,USA,50% Dark Bites,2022-04-19,1736,13
Mallorie Waber,UK,Mint Chip Choco,2022-06-29,6384,2
Beverie Moffet,India,Choco Coated Almonds,2022-02-24,3577,261
